position	link_query
53:29:10	Hyy
53:29:11	dnw
53:30:2	blg
53:30:4	Elm
53:30:6	rbb
53:30:8	Elm
53:30:10	Dll
53:30:12	sbl
53:30:14	Elm
53:30:16	hdy
53:30:17	smw
53:31:1	Alh
53:31:4	smw
53:31:7	ArD
53:31:8	jzy
53:31:9	%7Bl%7Ea*iY
53:31:10	swA
53:31:12	Eml
53:31:13	jzy
53:31:14	%7Bl%7Ea*iY
53:31:15	Hsn
53:31:16	Hsn
53:33:1	rAy
53:33:2	%7Bl%7Ea*iY
53:33:3	wly
53:34:1	ETw
53:34:2	qll
53:34:3	kdy
53:35:1	End
53:35:2	Elm
53:35:3	gyb
53:35:5	rAy
53:36:1	%3Eam
53:36:3	nbA
53:36:6	SHf
53:37:1	%3CiboraAhiym
53:37:2	%7Bl%7Ea*iY
53:37:3	wfy
53:38:2	wzr
53:38:3	wzr
53:38:4	wzr
53:38:5	Axr
53:39:2	lys
53:39:3	Ans
53:39:4	%3Cil%7EaA
53:39:6	sEy
53:40:2	sEy
53:40:4	rAy
53:41:2	jzy
53:41:3	jzy
53:41:4	wfy
53:42:2	%3CilaY%60
53:42:3	rbb
53:42:4	nhy
53:43:3	DHk
53:43:4	bky
53:44:3	mwt
53:44:4	Hyy
53:45:2	xlq
53:45:3	zwj
53:45:4	*kr
53:45:5	Anv
53:46:2	nTf
53:46:3	%3Ci*aA
53:46:4	mny
53:47:3	n$A
53:47:4	Axr
53:48:3	gny
53:48:4	qny
53:49:3	rbb
53:49:4	$Er
53:50:2	hlk
53:50:3	Ewd
53:50:4	Awl
53:51:3	bqy
53:52:1	qwm
53:52:4	qbl
53:52:6	kwn
53:52:8	Zlm
53:52:9	Tgy
53:52:10	smw
53:53:1	Afk
53:53:2	hwy
53:54:1	g$w
53:54:3	g$w
53:55:2	Alw
53:55:3	rbb
53:55:4	mry
53:56:2	n*r
53:56:4	n*r
53:56:5	Awl
53:57:1	Azf
53:57:2	Azf
53:58:1	lys
53:58:4	dwn
53:58:5	Alh
53:58:6	k$f
53:59:3	Hdv
53:59:4	Ejb
53:60:1	DHk
53:60:3	bky
53:61:2	smd
53:62:1	sjd
53:62:2	Alh
53:62:3	Ebd
53:62:4	smw
80:1:1	Ebs
80:1:2	wly
80:2:2	jyA
80:2:3	Emy
80:3:2	dry
80:3:4	zkw
80:4:2	*kr
80:4:3	nfE
80:4:4	*kr
80:5:1	%3Eam%7EaA
80:5:3	gny
80:6:3	Sdy
80:7:4	zkw
80:8:1	%3Eam%7EaA
80:8:3	jyA
80:8:4	sEy
80:9:2	x$y
80:10:3	lhw
80:11:3	*kr
80:12:2	$yA
80:12:3	*kr
80:13:2	SHf
80:13:3	krm
80:14:1	rfE
80:14:2	Thr
80:15:1	ydy
80:15:2	sfr
80:16:1	krm
80:16:2	brr
80:17:1	qtl
80:17:2	Ans
80:17:4	kfr
80:18:3	$yA
80:18:4	xlq
80:19:2	nTf
80:19:3	xlq
80:19:4	qdr
80:20:2	sbl
80:20:3	ysr
80:21:2	mwt
80:21:3	qbr
80:22:2	%3Ci*aA
80:22:3	$yA
80:22:4	n$r
80:23:3	qDy
80:23:5	Amr
80:24:1	nZr
80:24:2	Ans
80:24:3	%3CilaY%60
80:24:4	TEm
80:25:2	Sbb
80:25:3	mwh
80:25:4	Sbb
80:26:2	$qq
80:26:3	ArD
80:26:4	$qq
80:27:1	nbt
80:27:3	Hbb
80:28:1	Enb
80:28:2	qDb
80:29:1	zyt
80:29:2	nxl
80:30:1	Hdq
80:30:2	glb
80:31:1	fkh
80:31:2	Abb
80:32:1	mtE
80:32:3	nEm
80:33:1	%3Ci*aA
80:33:2	jyA
80:33:3	Sxx
80:34:1	ywm
80:34:2	frr
80:34:3	mrA
80:34:5	Axw
80:35:1	Amm
80:35:2	Abw
80:36:1	SHb
80:36:2	bny
80:37:1	kll
80:37:2	mrA
80:37:5	$An
80:37:6	gny
80:38:1	wjh
80:38:3	sfr
80:39:1	DHk
80:39:2	b$r
80:40:1	wjh
80:40:4	gbr
80:41:1	rhq
80:41:2	qtr
80:42:3	kfr
80:42:4	fjr
97:1:2	nzl
97:1:4	lyl
97:1:5	qdr
97:2:2	dry
97:2:4	lyl
97:2:5	qdr
97:3:1	lyl
97:3:2	qdr
97:3:3	xyr
97:3:5	Alf
97:3:6	$hr
97:4:1	nzl
97:4:2	mlk
97:4:3	rwH
97:4:5	A*n
